type,parent_name,name,link,status
facet,Perangkat Dapur,Kulkas,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100209,
facet,Perangkat Dapur,Freezer,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100210,
facet,Perangkat Dapur,Penghisap Asap Dapur,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100211,
category,Elektronik,Lampu,https://shopee.co.id/Lampu-cat.11044258.11044550,
facet,Lampu,Lampu,https://shopee.co.id/Lampu-cat.11044258.11044550?facet=100719,
category,Elektronik,Kamera Keamanan,https://shopee.co.id/Kamera-Keamanan-cat.11044258.11044567,
facet,Kamera Keamanan,Kamera CCTV,https://shopee.co.id/Kamera-Keamanan-cat.11044258.11044567?facet=101100,
facet,Kamera Keamanan,DVR,https://shopee.co.id/Kamera-Keamanan-cat.11044258.11044567?facet=101101,
facet,Kamera Keamanan,Kamera Dummy,https://shopee.co.id/Kamera-Keamanan-cat.11044258.11044567?facet=101102,
facet,Kamera Keamanan,Kamera Pengintai,https://shopee.co.id/Kamera-Keamanan-cat.11044258.11044567?facet=101103,
category,Elektronik,Video Game,https://shopee.co.id/Video-Game-cat.11044258.11044573,
facet,Video Game,Playstation,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101082,
facet,Video Game,Xbox,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101083,
facet,Video Game,Wii,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101084,
facet,Video Game,Nintendo 3DS & DS,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101085,
facet,Video Game,Gameboy,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101086,
facet,Video Game,Switch,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101087,
facet,Video Game,PS Vita,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101088,
facet,Video Game,PSP,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101089,
facet,Video Game,Game PC,https://shopee.co.id/Video-Game-cat.11044258.11044573?facet=101090,
category,Elektronik,Kelistrikan,https://shopee.co.id/Kelistrikan-cat.11044258.11044319,
facet,Kelistrikan,Stop Kontak & Sambungan Kabel,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100213,
facet,Kelistrikan,Pengaman Stop Kontak,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100214,
facet,Kelistrikan,Penghemat Listrik,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100215,
facet,Kelistrikan,Bel,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100216,
facet,Kelistrikan,Saklar,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100217,
facet,Kelistrikan,Alarm,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100218,
facet,Kelistrikan,Anti Petir,https://shopee.co.id/Kelistrikan-cat.11044258.11044319?facet=100219,
category,Elektronik,Baterai,https://shopee.co.id/Baterai-cat.11044258.11044328,
facet,Baterai,Baterai,https://shopee.co.id/Baterai-cat.11044258.11044328?facet=100043,
category,Elektronik,Vaporizer,https://shopee.co.id/Vaporizer-cat.11044258.11044329,
category,Elektronik,Remot Kontrol,https://shopee.co.id/Remot-Kontrol-cat.11044258.11044335,
facet,Remot Kontrol,Remot Kontrol,https://shopee.co.id/Remot-Kontrol-cat.11044258.11044335?facet=100045,
category,Elektronik,Walkie Talkie,https://shopee.co.id/Walkie-Talkie-cat.11044258.11044337,
facet,Walkie Talkie,Walkie Talkie,https://shopee.co.id/Walkie-Talkie-cat.11044258.11044337?facet=100076,
category,Elektronik,Media Player,https://shopee.co.id/Media-Player-cat.11044258.11044338,
facet,Media Player,MP3 & MP4 Player,https://shopee.co.id/Media-Player-cat.11044258.11044338?facet=100620,
facet,Media Player,"CD, DVD, & Blu-ray Player",https://shopee.co.id/Media-Player-cat.11044258.11044338?facet=100621,
facet,Media Player,Voice Recorders,https://shopee.co.id/Media-Player-cat.11044258.11044338?facet=100622,
facet,Media Player,Radio & Pemutar Kaset,https://shopee.co.id/Media-Player-cat.11044258.11044338?facet=100623,
category,Elektronik,Perangkat Audio & Speaker,https://shopee.co.id/Perangkat-Audio-&-Speaker-cat.11044258.11044344,
facet,Perangkat Audio & Speaker,Speaker,https://shopee.co.id/Perangkat-Audio-&-Speaker-cat.11044258.11044344?facet=100625,
facet,Perangkat Audio & Speaker,Home Theater & Karaoke,https://shopee.co.id/Perangkat-Audio-&-Speaker-cat.11044258.11044344?facet=100626,
facet,Perangkat Audio & Speaker,AV Receiver,https://shopee.co.id/Perangkat-Audio-&-Speaker-cat.11044258.11044344?facet=100627,
category,Elektronik,Elektronik Lainnya,https://shopee.co.id/Elektronik-Lainnya-cat.11044258.11044336,
category,Makanan & Minuman,Makanan Ringan,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453,
facet,Makanan Ringan,Permen,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100785,
facet,Makanan Ringan,Cokelat,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100786,
facet,Makanan Ringan,"Biskuit, Kue, & Wafer",https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100787,
facet,Makanan Ringan,Keripik & Kerupuk,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100788,
facet,Makanan Ringan,Biji-bijian,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100789,
facet,Makanan Ringan,Popcorn,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100790,
facet,Makanan Ringan,Rumput Laut,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100791,
facet,Makanan Ringan,Kacang,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100792,
facet,Makanan Ringan,"Puding, Jeli, & Marshmallow",https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=100794,
facet,Makanan Ringan,Dendeng,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=101574,
facet,Makanan Ringan,Buah Kering,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=101575,
facet,Makanan Ringan,Abon,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=101576,
facet,Makanan Ringan,Snack Seafood,https://shopee.co.id/Makanan-Ringan-cat.11043451.11043453?facet=101577,
category,Makanan & Minuman,Bahan Pokok,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467,
facet,Bahan Pokok,Biji-bijian & Kacang-kacangan,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=101579,
facet,Bahan Pokok,Seafood Kering,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=101580,
facet,Bahan Pokok,Makanan Herbal & Tradisional,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=101581,
facet,Bahan Pokok,Mie,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=100797,
facet,Bahan Pokok,Pasta,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=100799,
facet,Bahan Pokok,Buah Kaleng,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=101583,
facet,Bahan Pokok,Daging Kaleng,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=102024,
facet,Bahan Pokok,Seafood Kaleng,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=102025,
facet,Bahan Pokok,Sayur Kaleng,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=102026,
facet,Bahan Pokok,Sup Kaleng,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=102027,
facet,Bahan Pokok,Acar Sayuran,https://shopee.co.id/Bahan-Pokok-cat.11043451.11043467?facet=100802,
category,Makanan & Minuman,Menu Sarapan,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496,
facet,Menu Sarapan,Madu & Olesan,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496?facet=100819,
facet,Menu Sarapan,Selai & Olesan,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496?facet=100820,
facet,Menu Sarapan,"Sereal, Granola, & Oat",https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496?facet=100821,
facet,Menu Sarapan,Bar Sereal,https://shopee.co.id/Menu-Sarapan-cat.11043451.11043496?facet=100822,
category,Makanan & Minuman,Minuman,https://shopee.co.id/Minuman-cat.11043451.11043502,
facet,Minuman,Kopi,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100824,
facet,Minuman,Teh,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100825,
facet,Minuman,Minuman Cokelat,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100826,
facet,Minuman,Minuman Energi & Isotonik,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100827,
facet,Minuman,Air Mineral,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100828,
facet,Minuman,Jus & Sirup,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100829,
facet,Minuman,Cordial & Sirup,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100830,
facet,Minuman,Minuman Bersoda,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100831,
facet,Minuman,Minuman Bubuk Instan,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100832,
facet,Minuman,Minuman Pencuci Mulut,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100833,
facet,Minuman,Minuman Tradisional & Herbal,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100834,
facet,Minuman,Topping Minuman,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100835,
facet,Minuman,Susu Non-Dairy,https://shopee.co.id/Minuman-cat.11043451.11043502?facet=100836,
category,Makanan & Minuman,Susu & Olahan,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517,
facet,Susu & Olahan,Susu Segar,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=101593,
facet,Susu & Olahan,Susu UHT,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=101594,
facet,Susu & Olahan,Susu Kental Manis & Evaporasi,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=101595,
facet,Susu & Olahan,Susu Bubuk,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=101596,
facet,Susu & Olahan,Yoghurt,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100839,
facet,Susu & Olahan,Krimer,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100840,
facet,Susu & Olahan,Mentega & Margarin,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100841,
facet,Susu & Olahan,Keju,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100842,
facet,Susu & Olahan,Es Krim,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100843,
facet,Susu & Olahan,Telur,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100844,
facet,Susu & Olahan,Tahu,https://shopee.co.id/Susu-&-Olahan-cat.11043451.11043517?facet=100845,
category,Makanan & Minuman,Makanan Segar & Beku,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529,
facet,Makanan Segar & Beku,Daging Sapi,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101598,
facet,Makanan Segar & Beku,Daging Ayam,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101599,
facet,Makanan Segar & Beku,Daging Babi,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101600,
facet,Makanan Segar & Beku,Daging Kambing,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101601,
facet,Makanan Segar & Beku,Ikan,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101603,
facet,Makanan Segar & Beku,Udang,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101604,
facet,Makanan Segar & Beku,Kepiting,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=101605,
facet,Makanan Segar & Beku,Daging Vegetarian,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=100849,
facet,Makanan Segar & Beku,Jamur,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=100853,
facet,Makanan Segar & Beku,Makanan Beku Olahan,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=100854,
facet,Makanan Segar & Beku,Daging & Seafood Beku,https://shopee.co.id/Makanan-Segar-&-Beku-cat.11043451.11043529?facet=100855,
category,Makanan & Minuman,Roti & Kue,https://shopee.co.id/Roti-&-Kue-cat.11043451.11043544,
category,Makanan & Minuman,Set Hadiah & Hampers,https://shopee.co.id/Set-Hadiah-&-Hampers-cat.11043451.11043555,
category,Makanan & Minuman,Makanan Kaleng,https://shopee.co.id/Makanan-Kaleng-cat.11043451.11043557,
category,Makanan & Minuman,Makanan Instan,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564,
facet,Makanan Instan,Makanan Siap Saji,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564?facet=100780,
facet,Makanan Instan,Nasi & Bubur Instan,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564?facet=100782,
facet,Makanan Instan,Hotpot Instan,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564?facet=100783,
facet,Makanan Instan,Mie & Pasta Instan,https://shopee.co.id/Makanan-Instan-cat.11043451.11043564?facet=100784,
